SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","3/30/2025","ce912ed9-61fb-4d64-ad8d-13018897497f","Storage","Tiered Block Blob","US West","LRS List and Create Container Operations","0.0001","0.000006"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","3/30/2025","32c3ebec-1646-49e3-8127-2cafbd3a04d8","Bandwidth","Rtn Preference: MGN","All","Standard Data Transfer In","2E-06","0.000000"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","11/22/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.015001","0.720053"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","11/23/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.00461","0.221303"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","11/24/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.015284","0.733604"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","11/25/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.004611","0.221338"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","11/26/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.010678","0.512576"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","11/27/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.004608","0.221181"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","11/28/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.004605","0.221064"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","11/29/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.0053","0.254391"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","11/30/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.004623","0.221921"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/5/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.011067","0.531211"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/6/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.011074","0.531536"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/7/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.011778","0.565356"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/8/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.011865","0.569568"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/9/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.012552","0.602508"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/10/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.011949","0.573527"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/11/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.012763","0.612597"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/12/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.011754","0.564213"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/13/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.011831","0.567892"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/14/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.011987","0.575345"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/15/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.022299","1.070353"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/16/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035929","1.724522"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/17/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.039425","1.892373"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/18/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.034411","1.651748"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/19/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.03558","1.707814"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/20/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.03541","1.699669"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","12/21/2024","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.035239","1.691481"
